İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
ÇARŞI MERKEZE 7-8 DKK 2+0 YAKIT NET DAHİL,8.500 TL,2+0,50,"Kepeci
Karaağaç Mh.","14 Aralık
2025"
ÇARŞI MERKEZDE 2+0 YAKIT NET DAHİL,10.000 TL,2+0,55,"Çelebiler
İskender Mh.","14 Aralık
2025"
ÇARŞI MERKEZDE 2+0 YAKIT NET DAHİL,10.000 TL,2+0,55,"Çelebiler
İskender Mh.","14 Aralık
2025"
ISPARTA MERKEZ SÜLÜBEY MAHALLESİNDE ÇAY BOYUNDA KİRALIK DAİRE,27.500 TL,4+1,165,"Çelebiler
Sülübey Mh.","14 Aralık
2025"
ÇÜNÜR İLKOKUL KARŞISI KİRALIK 3+1 DAİRE,26.500 TL,3+1,160,"Anadolu
Çünür Mh.","14 Aralık
2025"
CELAL BEY SİTESİ 4+1 SIFIR DAİRE,48.500 TL,4+1,190,"Kutlubey
Işıkkent Mh.","14 Aralık
2025"
ŞEHİR HASTAHANESİNE YÜRÜME MESAFESİNDE KİRALIK LÜKS 1+0 APART,9.000 TL,Stüdyo (1+0),28,"Kepeci
İstiklal Mh.","14 Aralık
2025"
SAHİBİNDEN 1+1 EŞYALI APART,13.000 TL,1+1,45,"Çelebiler
İskender Mh.","13 Aralık
2025"
FATİH ÇEViKBAŞ APARTTA KİRALIK FULL EŞYALI APART DAİRE,10.000 TL,1+1,55,"Anadolu
Fatih Mah.","13 Aralık
2025"
ÇÜNÜR MAHALLESİ SDÜ YÜRÜME MESAFESİNDE 1+1 KİRALIK DAİRE,11.000 TL,1+1,50,"Anadolu
Çünür Mh.","11 Aralık
2025"
"ISPARTA MERKEZ FATİH MH. 2+1, 45 M2, EŞYALI KİRALIK APART DAİRE",10.000 TL,2+1,45,"Anadolu
Fatih Mah.","14 Aralık
2025"
FATİH SPOR SALONUNUN 500mt ÜSTÜNDE KİRALIK LÜKS 3+1 ARAKAT DAİRE,25.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","13 Aralık
2025"
Kiralık 1+1 apart,8.500 TL,1+1,33,"Anadolu
Çünür Mh.","13 Aralık
2025"
BLACK // IYAŞ 900 mt. ÜZERİ 1+1 BALKONLU GENİŞ APART,10.000 TL,1+1,50,"Anadolu
Zafer Mah.","15 Aralık
2025"
HIZIRBEY MAHALLESİNDE KİRALIK EŞYALI BAKIMLI 3+1 DAİRE,32.000 TL,3+1,150,"Kutlubey
Hızırbey Mh.","13 Aralık
2025"
,,,,,
SAHİBİNDEN KİRALIK APART,9.500 TL,2+1,50,"Anadolu
Fatih Mah.","13 Aralık
2025"
YÜCEER GAYRİMENKUL'DEN MODERNEVLER'DE 1+0 KİRALIK DAİRE,8.000 TL,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah.","13 Aralık
2025"
EYLÜL GİRİŞLİ 2+1 LÜKS BAHÇE KATLAR,14.000 TL,2+1,55,"Anadolu
Fatih Mah.","14 Aralık
2025"
HALK EĞİTİM KARŞISI KONUT VE OFİSE UYGUN 3+1,18.000 TL,3+1,120,Kutlubey,"13 Aralık
2025"
İYAŞ AVM ÜZERİ 1+1 APART DAİRE HERŞEY DAHİL,10.000 TL,1+1,45,"Anadolu
Bahçelievler Mh.","15 Aralık
2025"
GÖKKUBBE İLERİSİ KİRALIK BAKIMLI 2+1,12.000 TL,2+1,95,"Kutlubey
Batıkent Mh.","13 Aralık
2025"
ISPARTA MERKEZ ÖZKANLARA YAKIN 2+0 KİRALIK APART,11.000 TL,2+0,45,"Anadolu
Bahçelievler Mh.","13 Aralık
2025"
ISPARTA MERKEZ HALIKENT NAH. KİRALIK 3+1 DAİRE,15.000 TL,3+1,145,"Çelebiler
Halıkent Mh.","13 Aralık
2025"
KAYA EMLAKTAN ANADOLU MAH. SIFIR KİRALIK 1+1 DAİRE,15.500 TL,1+1,65,Anadolu,"13 Aralık
2025"
ZİHNİ BEY GAYRİMENKUL MODERNEVLER MAH 2+1 DAİREMİZ,8.000 TL,2+1,80,"Anadolu
Modern Evler Mah.","14 Aralık
2025"
MODERN EVLER MAHALLESİ İYAŞ;AVMYE 5DK KİRALIK 2.KATTA 2+1 APART,13.000 TL,2+1,50,"Anadolu
Fatih Mah.","13 Aralık
2025"
Eşyalı apart,11.000 TL,2+1,55,"Anadolu
Çünür Mh.","13 Aralık
2025"
Isparta kiralık kız öğrenci apart daire,14.000 TL,2+1,35,"Anadolu
Bahçelievler Mh.","13 Aralık
2025"
Şehir merkezinde 2+1,11.000 TL,2+1,100,Kepeci,"13 Aralık
2025"
SAHİBİNDEN HERŞEY DAHİL EŞYALI APART,12.500 TL,2+0,45,"Anadolu
Çünür Mh.","13 Aralık
2025"
TOKİ EVLERİNDE GENİŞ 3+1 TADİLATLI SAHİBİNDEN,16.000 TL,3+1,140,"Merkez
Akkent Mah.","13 Aralık
2025"
155 cadde üzerinde yenilenmiş daire,19.000 TL,3+1,130,"Kutlubey
Hızırbey Mh.","13 Aralık
2025"
BEKA EMLAK'TAN YENİ İSİBU YANI 2+0 APART,12.000 TL,2+1,45,"Kutlubey
Hızırbey Mh.","13 Aralık
2025"
Deregümü'de Kiralık Arakat 3+1 Daire,22.000 TL,3+1,130,"Anadolu
Zafer Mah.","13 Aralık
2025"
