İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
Çünürde kiralık sıfır 3+1 daire,30.000 TL,3+1,145,"Anadolu
Çünür Mh.","05 Aralık
2025"
BELMAŞLARDA 2+1 KİRALIK DAİRE,11.000 TL,2+1,120,Kepeci,"05 Aralık
2025"
Güneş Gayrimenkul'den Amerikan Mutfaklı + Yatak Odalı Bağlar Mh,14.000 TL,1+1,60,"Kutlubey
Bağlar Mh.","07 Aralık
2025"
"ÇARŞI MERKEZ'de KİRALIK EŞYALI/ EŞYASIZ 2+0 DAİRELER, ASANSÖRLÜ",14.500 TL,2+1,65,"Çelebiler
Gazi Kemal Mah.","05 Aralık
2025"
HERŞEY DAHİL BİR ARTİ SIFIR APARTLAR,7.500 TL,Stüdyo (1+0),40,"Anadolu
Fatih Mah.","05 Aralık
2025"
Güneş Gayrimenkul'den Bahçeli Eşyalı 2+1 Bahçe Kat,15.000 TL,2+1,140,"Kutlubey
Işıkkent Mh.","05 Aralık
2025"
Güneş Gayrimenkul'den Fatih Mh 1+1 Eşyalı Site içerisinde,10.000 TL,1+1,40,"Anadolu
Fatih Mah.","05 Aralık
2025"
,,,,,
İFA'DAN ISPARTA HIZIRBEY MAHALLESİNDE KİRALIK DAİRE,42.000 TL,4+1,210,"Kutlubey
Hızırbey Mh.","05 Aralık
2025"
GEF GAYRİMENKUL'den KARAAĞAÇ MEYDANINDA KİRALIK 3+1,32.500 TL,3+1,160,"Kepeci
Karaağaç Mh.","05 Aralık
2025"
ISPARTA MERKEZ BAHÇELİEVLER MAHALLESİNDE KİRALIK APART,10.000 TL,2+0,50,"Anadolu
Bahçelievler Mh.","05 Aralık
2025"
sdü karşısı 1+1 apart,13.500 TL,1+1,55,"Anadolu
Çünür Mh.","10 Aralık
2025"
DİNÇER GYD-MODERNEVLER BAHÇE KAT SIFIR EŞYA 2+1 YAKIT NET 11.000,11.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","04 Aralık
2025"
DİNÇER GYD-ÇARŞI KEPECİ 75M2 SIFIR EŞYA 2+1 YAKIT NET DAHİL,17.000 TL,2+1,75,Kepeci,"04 Aralık
2025"
32 ARTIBİR EMLAKTAN ANADOLU MAHALLESİ'NDE 2+1 APART DAİRE,14.000 TL,2+1,65,Anadolu,"04 Aralık
2025"
DİNÇER GYD-BAHÇELİEVLER MAH BALKONLU 2+1 YAKIT NET 18.000₺,18.000 TL,2+1,65,"Anadolu
Bahçelievler Mh.","04 Aralık
2025"
İLAN 32 GYD // SÖYLEYİCİLER AZURE'DE KİRALIK DAİRE,28.500 TL,3+1,160,"Anadolu
Muzaffer Türkeş Mh.","04 Aralık
2025"
ADLİYE YAKINI KİRALİK 3+1 TEMİZ DAİRE,16.000 TL,3+1,140,"Anadolu
Fatih Mah.","04 Aralık
2025"
ÇARŞI Yeni Üniversitesi Altında Turan mah.KİRALIK 3+1 2.kat,20.000 TL,3+1,150,"Çelebiler
Turan Mah.","04 Aralık
2025"
Anadolu mahallesinde sahibinden kiralık,9.000 TL,3+1,110,Anadolu,"04 Aralık
2025"
çarşı merkezde tüm faturalar dahil 8000 TL,8.000 TL,Stüdyo (1+0),30,"Kutlubey
Hızırbey Mh.","04 Aralık
2025"
BLACK // FATİH MAH. KİRALIK 1+0 APARTLAR,7.000 TL,Stüdyo (1+0),25,"Anadolu
Fatih Mah.","05 Aralık
2025"
SAHİBİNDEN Çünür mahallesinde Kiralık 3+1 Daire,27.000 TL,3+1,140,"Anadolu
Çünür Mh.","04 Aralık
2025"
REGNO'DAN YAYLA MAH. MEYDAN AVMYE 100 METRE AİLEYE GENİŞ 3+1,18.000 TL,3+1,185,"Tokmacık
Yayla Mah.","04 Aralık
2025"
PARLAİS EMLAKTAN KULE246DA KİRALIK 2+1 LÜX DAİRE,18.000 TL,2+1,85,"Kepeci
Davraz Mah.","04 Aralık
2025"
ÇARŞI MERKEZDE HALK EĞİTİM YANI KİRALIK 3+1 DAİRE,19.000 TL,3+1,160,"Kepeci
İstiklal Mh.","04 Aralık
2025"
sahibinden Fatih mah merkezi konumda 3+1 daire,17.000 TL,3+1,120,"Anadolu
Fatih Mah.","04 Aralık
2025"
ISPARTA APART 2+1 L KOLTUKLU DAİRELER,16.000 TL,2+1,50,"Anadolu
Fatih Mah.","09 Aralık
2025"
İYAŞA 7-8DK YENİ EŞYALI 1+0 APART,7.500 TL,Stüdyo (1+0),22,"Anadolu
Fatih Mah.","05 Aralık
2025"
ISPARTA KARAAĞAÇ'TA KİRALIK BAHÇELİ DUBLEKS,15.000 TL,2+1,85,"Kepeci
Davraz Mah.","04 Aralık
2025"
İyi konumda temiz daire,30.000 TL,3+1,150,"Kepeci
İstiklal Mh.","04 Aralık
2025"
SAHİBİNDEN KİRALIK DAİRE,17.000 TL,3+1,130,Anadolu,"04 Aralık
2025"
SIFIR 3+1 EBEVEYN BANYOLU KİRALIK DAİRE,30.000 TL,3+1,130,"Kepeci
Davraz Mah.","05 Aralık
2025"
"SAHİBİNDEN Şehir Manzaralı, Ferah, Şık 3+1 Daire",15.500 TL,3+1,125,"Anadolu
Yeni Mh.","04 Aralık
2025"
ISPARTA MERKEZ MEYDAN AVM'YE YAKIN 3+1 KİRALIK DAİRE,10.000 TL,3+1,140,"Kutlubey
Bağlar Mh.","04 Aralık
2025"
Iyaşpark AVM Karşısı Kiralık 3+1 Geniş Daire,27.000 TL,3+1,170,"Anadolu
Fatih Mah.","06 Aralık
2025"
M.TÜRKEŞ SIFIR 3+1 KİRALIK SİTE İÇİ DAİRE,26.000 TL,3+1,160,"Anadolu
Muzaffer Türkeş Mh.","04 Aralık
2025"
FAVORİ EMLAKTAN KİRALIK ARA KAT BALKONLU LÜKS 1+1 APART,18.000 TL,1+1,55,"Kepeci
İstiklal Mh.","05 Aralık
2025"
32 ARTIBİR EMLAKTAN YENİ ÜNİVERSİTE'NİN TAM KARŞISI 1+1 APART,14.000 TL,1+1,55,"Çelebiler
Doğancı Mh.","04 Aralık
2025"
SİTE İÇİ 3+1 135 M2 4.KAT BAKIMLI DOĞU BATI AKŞAMA KADARGÜNEŞLİ,11.500 TL,3+1,135,Anadolu,"04 Aralık
2025"
Güneş Gayrimenkul'den Amerikan Mutfaklı + Yatak Odası,13.000 TL,1+1,65,"Kutlubey
Bağlar Mh.","07 Aralık
2025"
,,,,,
İSUBU yanı 2+0 Kiralık Apart,10.000 TL,2+0,55,"Kutlubey
Hızırbey Mh.","06 Aralık
2025"
ŞEHİR MERKEZİNDE BELEDİYE KARŞISINDA 4+1 KİRALIK DAİRE,16.000 TL,4+1,120,"Kutlubey
Pirimehmet Mah.","04 Aralık
2025"
PARLAİS EMLAKTAN FATİH ÜSTÜNDE BALKONLU LÜX 1+1 APART DAİRE,11.500 TL,1+1,55,"Anadolu
Zafer Mah.","04 Aralık
2025"
Kiralik Geniş 1+1 Apart,11.000 TL,1+1,70,"Anadolu
Zafer Mah.","06 Aralık
2025"
AYAZMANA DA SİTE İÇERİSİNDE 3+1 MANZARALI MASRAFSIZ KİRALIK DAİR,22.500 TL,3+1,150,"Çelebiler
Ayazmana Mah.","04 Aralık
2025"
ASYA EMLAK TAN MEYDAN AVM YAKINI BALKONLU 1+1 ARAKAT,10.000 TL,1+1,45,"Kutlubey
Bağlar Mh.","04 Aralık
2025"
Sav Yolu Yıldız Sitesinde Kiralık Sıfır 3+1 Daire,21.000 TL,3+1,130,"Çelebiler
Vatan Mah.","04 Aralık
2025"
ÇARŞI MERKEZ 1+1 2.KAT 60M2 GENİŞ EŞYALI LÜX APART DAİRE,12.500 TL,1+1,65,"Çelebiler
İskender Mh.","04 Aralık
2025"
ÖZKANLAR MEVKİİ 4+1 ÇATI DUBLEX 110 M2 BAKIMLI DAİRE,17.000 TL,4+1,110,"Anadolu
Sanayi Mah.","04 Aralık
2025"
MNS GAYRİMENKULDEN KİRALIK MODERNEVLER MAH 2+0 ARAKAT APART,10.000 TL,2+0,55,Anadolu,"04 Aralık
2025"
Merkezde 1+1 2.kat esyali apart daire,8.000 TL,1+1,40,"Kutlubey
Pirimehmet Mah.","04 Aralık
2025"
DİNÇER GYD-İYAŞA 1 DK MESAFE ARA KAT 1+1 YAKIT NET DAHİL 11.000₺,11.000 TL,1+1,50,"Anadolu
Fatih Mah.","04 Aralık
2025"
"Şehir Hastanesi karşısında, 3+1 doğalgazlı, aileye kiralık",20.000 TL,3+1,165,"Kepeci
Davraz Mah.","04 Aralık
2025"
Orman Müd Karşısı -Full Tadilatlı Kiralık 3+1,20.000 TL,3+1,130,"Anadolu
Modern Evler Mah.","04 Aralık
2025"
İSTİKLAL MAH. 2+1 KİRALIK DAİRE (Ofis kullanımına da uygundur),15.000 TL,2+1,120,"Kepeci
İstiklal Mh.","04 Aralık
2025"
MNS GAYRİMENKULDEN KİRALIK MUZAFFER TÜRKEŞMAH 3+1 SİTE İÇE DAİRE,20.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","04 Aralık
2025"
Çünür'de Kiralık Arakat 3+1 Daire,20.000 TL,3+1,125,"Anadolu
Çünür Mh.","04 Aralık
2025"
HALİFESULTAN MAHALLESİNDE KİRALIK GENİŞ 3+1 DAİRE,18.000 TL,3+1,170,"Çelebiler
Halife Sultan Mah.","04 Aralık
2025"
SÖYLEYİCİ İNŞ AZURE SİTESİ KİRALIK 3+1 120 MT2,25.000 TL,3+1,150,"Anadolu
Muzaffer Türkeş Mh.","03 Aralık
2025"
Ramada Otel Karşısı 1+1 ve 2+1 Kiralık Öğrenciye Apart Daireler,10.000 TL,2+1,65,"Anadolu
Sanayi Mah.","03 Aralık
2025"
,,,,,
SAHİBİNDEN KİRALIK DAİRE,20.000 TL,3+1,140,"Anadolu
Muzaffer Türkeş Mh.","03 Aralık
2025"
KOLÇELİK KAVŞAĞINDA KİRALIK 3+1 DAİRE,15.000 TL,3+1,120,"Anadolu
Yeni Mh.","03 Aralık
2025"
SİDRE MAH 2+1 SIFIR KİRALIK DAİRE,15.000 TL,2+1,100,"Çelebiler
Sidre Mah.","03 Aralık
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜRDE SİTE İÇERİSİ DAİRE,25.000 TL,3+1,155,"Anadolu
Çünür Mh.","08 Aralık
2025"
Çarşı merkezde kiralık apart,11.000 TL,2+1,50,"Anadolu
Fatih Mah.","03 Aralık
2025"
Kiralık 3+1 şehir manzaralı,21.000 TL,3+1,160,"Kutlubey
Binbirevler Mah.","03 Aralık
2025"
ISPARTA FATİH MAHALLESİNDE 2+0 APART DAİRE,7.500 TL,2+0,50,"Anadolu
Fatih Mah.","03 Aralık
2025"
ISPARTA ÇARŞI MERKEZDE KİRALIK 3+1 DAİRE-İŞYERİ,18.000 TL,3+1,145,"Kutlubey
Pirimehmet Mah.","03 Aralık
2025"
Sahibinden kiralık eşyalı apart,7.500 TL,Stüdyo (1+0),30,"Anadolu
Yedişehitler Mh.","03 Aralık
2025"
BAĞLAR MAHALLESİNDE MEYDAN AVM'YE YAKIN BALKONLU 1+1 APARTLAR,10.000 TL,1+1,50,"Kutlubey
Bağlar Mh.","03 Aralık
2025"
ÇÜNÜR MAHALLESİ'NDE 1+1 KİRALIK APART,12.500 TL,1+1,40,"Anadolu
Çünür Mh.","03 Aralık
2025"
HIZIRBEY MAHALLESİNDE SAHİBİNDEN KİRALIK 3+1 ARAKAT DAİRE,20.000 TL,3+1,120,"Kutlubey
Hızırbey Mh.","03 Aralık
2025"
Turan mah kiralık geniş 2+1 daire bireysel kombili,10.000 TL,2+1,105,"Çelebiler
Turan Mah.","03 Aralık
2025"
Isparta Merkez Gülistan taksiye yakın kiralık 2+1 apart,10.000 TL,2+1,55,"Kutlubey
Bağlar Mh.","04 Aralık
2025"
Bahçelievler'de Kiralık Arakat 1+1 Çok Geniş Apart,12.500 TL,1+1,40,"Anadolu
Bahçelievler Mh.","05 Aralık
2025"
ÖZKANLAR KAVŞAĞINA 30 ADIM HERŞEY DAHİL ARA KAT 1+0 APART 7.000₺,7.000 TL,Stüdyo (1+0),25,"Kutlubey
Pirimehmet Mah.","03 Aralık
2025"
ZAFERDE KİRALİK 2+1 DAİRE,9.000 TL,2+1,85,"Anadolu
Zafer Mah.","03 Aralık
2025"
"ZİRAAT EMLAK' TAN KİRALIK PLUSLİFE SİTESİNDE 4+1,MEGA LÜKS DAİRE",35.000 TL,4+1,211,"Anadolu
Sanayi Mah.","03 Aralık
2025"
İLAN 32 GYD - MEYDAN AVM KARŞISI KİRALIK DAİRE,20.500 TL,2+1,120,"Kutlubey
Pirimehmet Mah.","03 Aralık
2025"
ÇELİKEV GAYRİMENKUL'DEN FATİHTE HER ŞEY DAHİL GENİŞ 1+1 APART,9.000 TL,1+1,55,"Anadolu
Fatih Mah.","04 Aralık
2025"
ANADOLU MAHALLESİNDE KİRALIK 3+1 TEMİZ BAKIMLI MASRAFSIZ DAİRE,10.000 TL,3+1,130,Anadolu,"03 Aralık
2025"
ASYA EMLAK TAN MODERNEVLERDE BALKONLU GENİŞ 2+1 ARAKAT,10.000 TL,2+1,65,"Anadolu
Modern Evler Mah.","04 Aralık
2025"
ÇARŞI MERKEZ 1+1 GENİŞ FERAH 60 M2 EŞYALI ASANSÖRLÜ APART DAİRE,10.000 TL,1+1,60,"Çelebiler
İskender Mh.","04 Aralık
2025"
ISPARTA 2+1 APARTLAR ARAKATLAR,15.000 TL,2+1,50,"Anadolu
Fatih Mah.","09 Aralık
2025"
DİNÇER GYD-MODERNEVLER MAH SIFIR EŞYALI BALKONLU 1+1'LER 18.000₺,18.000 TL,1+1,55,"Anadolu
Modern Evler Mah.","04 Aralık
2025"
ASYA EMLAK TAN ÜLKÜ OKUL YAKINI 2+1 BAHÇEKATI,11.000 TL,2+1,60,Kepeci,"03 Aralık
2025"
ASYA EMLAK TAN ÇARŞIDA YAKIT ELKTRİK SU DAH 1+1,10.000 TL,1+1,45,"Tokmacık
Yayla Mah.","03 Aralık
2025"
ISPARTA APART UYGUN FİYATA HERŞEY DAHİL,7.000 TL,Stüdyo (1+0),30,"Anadolu
Bahçelievler Mh.","09 Aralık
2025"
32 ARTIBİR EMLAKTAN İYAŞ AVM CİVARI HERŞEY DAHİL APART DAİRE,6.000 TL,Stüdyo (1+0),35,"Anadolu
Bahçelievler Mh.","04 Aralık
2025"
"HERŞEY DAHİL, SAHİBİNDEN KİRALIK, BALKONLU 2+1 APART",15.000 TL,2+1,55,Anadolu,"03 Aralık
2025"
Deregümü Yeni yolda Kiralık 3+1 Arakat Daire,23.000 TL,3+1,130,"Anadolu
Fatih Mah.","04 Aralık
2025"
SÖYLEYİCİLER AZURE'DEN 3+1 SIFIR DAİRE,28.000 TL,3+1,135,"Anadolu
Muzaffer Türkeş Mh.","02 Aralık
2025"
"Zafer Mh. Bahçe kat 2+1, 60m2 Kiralık Apart",10.000 TL,2+1,65,"Anadolu
Zafer Mah.","02 Aralık
2025"
KİRALIK ULTRA LÜKS 2+1 BALKONLU KOMBİLİ BAHÇE KATI STÜDYO DAİRE,16.000 TL,2+1,60,"Anadolu
Fatih Mah.","02 Aralık
2025"
HIZIRBEY MAH KİRALIK DAİRE,20.000 TL,3+1,140,"Kutlubey
Hızırbey Mh.","02 Aralık
2025"
FAİTH HALISAHA YANI KİRALIK 1+0,7.500 TL,Stüdyo (1+0),20,"Anadolu
Fatih Mah.","02 Aralık
2025"
"Detaylı Temizliği Yapıldı, Halılar Yeni Yıkamadan Geldi.",20.000 TL,3+1,160,"Anadolu
Çünür Mh.","02 Aralık
2025"
PARS YAPI EMLAKTAN ÇÜNÜRDE SİTE İÇERİSİNDE 3+1 KİRALIK DAİRE,21.000 TL,3+1,145,"Anadolu
Çünür Mh.","04 Aralık
2025"
Sahibinden Kiralık Doğalgazlı Ev,16.000 TL,3+1,140,"Çelebiler
Gülevler Mh.","02 Aralık
2025"
32 ARTIBİR EMLAKTAN HIZIRBEY'DE 3+1 DAİRE,15.000 TL,3+1,150,"Kutlubey
Hızırbey Mh.","03 Aralık
2025"
Orman Bölge Müdürlüğü Arkası Geniş Ferah Apart,8.750 TL,Stüdyo (1+0),50,"Anadolu
Bahçelievler Mh.","04 Aralık
2025"
ISPARTA ÇÜNÜR MAHALLESİNDE 0 KİRALIK DAİRELER,28.500 TL,3+1,150,"Anadolu
Çünür Mh.","02 Aralık
2025"
Gürsoy Yapı Kooperatifi Sahibinden Kiralık Ev,18.000 TL,3+1,155,"Kozluçay
Dere Mah.","02 Aralık
2025"
ISPARTA MERKEZ ÇÜNÜR MAHALLESİNDE KİRALIK GENİŞ DAİRE,24.000 TL,3+1,135,"Anadolu
Çünür Mh.","03 Aralık
2025"
Dr. Baridas'tan Kiralık Apart (2+1),11.000 TL,2+1,55,"Anadolu
Bahçelievler Mh.","02 Aralık
2025"
"Fatih Mahallesi yakıt , aidat, internet dahil 2 kişilik apart",10.000 TL,2+1,40,"Anadolu
Fatih Mah.","02 Aralık
2025"
ERKEK ÖĞRENCİYE TEK KİŞİLİK 1+0,6.500 TL,Stüdyo (1+0),25,"Anadolu
Bahçelievler Mh.","02 Aralık
2025"
,,,,,
DİNÇER GYD-MUZAFFER TÜRKEŞ MÜSTAKİL TADINDA BAHÇELİ 3+1 19.000₺,19.000 TL,3+1,165,"Anadolu
Muzaffer Türkeş Mh.","02 Aralık
2025"
ISPARTA MERKEZ BELEDİYE YE YAKIN 100 M2 2+1 EŞYALI DAİRE,11.000 TL,2+1,110,"Kutlubey
Pirimehmet Mah.","04 Aralık
2025"
ÖZKANLARDA HER ŞEY DAHİL KİRALIK 1+0 APART,8.000 TL,Stüdyo (1+0),20,"Anadolu
Bahçelievler Mh.","02 Aralık
2025"
Güneş Gayrimenkul'en Çarşıda 2+1 Balkonlu Daire,15.000 TL,2+1,80,"Kutlubey
Pirimehmet Mah.","02 Aralık
2025"
ZİRAAT EMLAK' TAN KİRALIK MODERNEVLER MAH. 1+1 LÜKS APART,15.000 TL,1+1,50,"Anadolu
Modern Evler Mah.","02 Aralık
2025"
FATİH'TE KİRALIK 3+1 DAİRE,10.000 TL,3+1,130,"Anadolu
Fatih Mah.","03 Aralık
2025"
PEKŞEN EMLAKTAN KARAAĞAÇ MAH 3+1 SIFIR DAİRE,27.000 TL,3+1,155,"Kepeci
Davraz Mah.","02 Aralık
2025"
ÇOK GENİŞ 2+1 ARA KAT DAİRE,17.000 TL,2+1,120,"Anadolu
Fatih Mah.","02 Aralık
2025"
ÇARŞI MERKEZDE KİRALIK LÜKS FUL TADİLATLI 75 m2 DAİRE,13.000 TL,2+0,75,"Kutlubey
Pirimehmet Mah.","03 Aralık
2025"
ÇARŞI MERKEZDE ULTRA LÜKS 1+1 EŞYALI BİREYSEL KOMBİLİ APART,13.000 TL,1+1,45,"Kepeci
İstiklal Mh.","03 Aralık
2025"
Kiralık 3+1 Daire Muzaffer Türkeş Mahallesi,20.000 TL,3+1,140,"Anadolu
Muzaffer Türkeş Mh.","02 Aralık
2025"
ISPARTA MERKEZ HERSEY DAHİL MEYDAN AVM'YE YAKIN 1+1 EŞYALI KİRAL,10.000 TL,1+1,50,"Kutlubey
Hızırbey Mh.","02 Aralık
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜRDE PAZARA YAKIN 3+1 ARAKAT DAİRE,22.000 TL,3+1,160,"Anadolu
Çünür Mh.","08 Aralık
2025"
ISPARTA MERKEZ İYAŞA 10 DAKİKA 2+1 ESYALI APART,10.000 TL,2+1,55,"Anadolu
Fatih Mah.","02 Aralık
2025"
TEKİN EMLAKTAN KİRALIK,8.000 TL,Stüdyo (1+0),25,"Kutlubey
Bağlar Mh.","06 Aralık
2025"
ÇÜNÜR'DE 1+1 LÜX APART DAİRE,12.000 TL,1+1,50,"Anadolu
Çünür Mh.","02 Aralık
2025"
tomurcukkent sitesi 5. Kat 2+1 büyük balkonlu,24.000 TL,2+1,115,"Anadolu
Çünür Mh.","02 Aralık
2025"
FATİH MAH. ADLİYE YAKINI MÜKEMMEL LOKASYON KİRALIK 3+1. DAİRE,13.750 TL,3+1,135,"Anadolu
Fatih Mah.","02 Aralık
2025"
ŞEHİR HASTAHANESİNE YÜRÜME MESAFESİNDE KİRALIK 2+1 DAİRE,17.000 TL,2+1,80,"Kepeci
İstiklal Mh.","05 Aralık
2025"
çünürde terminale yakın kiralık apart,10.000 TL,2+1,60,"Anadolu
Çünür Mh.","02 Aralık
2025"
Bahçelievler Nüfus Müdürlüğü Yanı Arakat 2+1 Apart,13.000 TL,2+1,45,"Anadolu
Bahçelievler Mh.","04 Aralık
2025"
GÖLCÜK YOLU ÜZERİ SİTE İÇERİSİNDE KİRALIK DAİRE,15.000 TL,2+1,90,"Anadolu
Muzaffer Türkeş Mh.","01 Aralık
2025"
Kiralık 2+1 eşyalı ev aile apartmanında,25.000 TL,2+1,110,"Anadolu
Fatih Mah.","01 Aralık
2025"
ISPARTA SANAYİ MAHALLESİ'NDE KİRALIK DAİRE,30.000 TL,3+1,182,"Anadolu
Sanayi Mah.","04 Aralık
2025"
ANADOLU EMLAKTAN/ÇÜN ÜR'DE/EŞYALI 1+1 DAİRE,13.000 TL,1+1,50,"Anadolu
Çünür Mh.","01 Aralık
2025"
KULE 246'DA KİRALIK ARAKAT SİTE İÇERİSİNDE GENİŞ 3+1 DAİRE,24.000 TL,3+1,132,"Kepeci
Davraz Mah.","01 Aralık
2025"
BAHÇELİEVLER MH. KİRALIK 1+1EŞYALI APART,12.500 TL,1+1,55,"Anadolu
Bahçelievler Mh.","01 Aralık
2025"
ÖZKANLARA ÇARŞIYA 2 DK YÜRÜME MESAFESİNDE 2+0 APART,8.500 TL,2+0,45,"Kutlubey
Bağlar Mh.","03 Aralık
2025"
"ÖZKANLAR'da KİRALIK 1+0 1+1 APART DAİRELER, YAKIT-İNTERNET dahil",10.500 TL,Stüdyo (1+0),40,"Kutlubey
Pirimehmet Mah.","01 Aralık
2025"
Kelebek Vadisi Karşısı Kiralık Daire,23.000 TL,3+1,135,"Kutlubey
Hızırbey Mh.","01 Aralık
2025"
ÇARŞI MERKEZDE 2+1 65M2 DAİRE,13.000 TL,2+1,70,"Çelebiler
İskender Mh.","01 Aralık
2025"
ISPARTA FATİH MAHALLESİNDE 2+1 KİRALIK DAİRE,7.000 TL,2+1,75,"Anadolu
Fatih Mah.","02 Aralık
2025"
Sahibinden Modernevlerde 2.katta Kiralık 1+1 Eşyalı Apart Balkon,12.500 TL,1+1,45,"Anadolu
Modern Evler Mah.","01 Aralık
2025"
Kiralik 2+1 modern evler,12.500 TL,2+1,60,"Anadolu
Modern Evler Mah.","01 Aralık
2025"
Gülistan Mh. Ana Cadde Üzerinde Kiralık 2+1 Yeni Daire,18.000 TL,2+1,70,"Kutlubey
Hızırbey Mh.","01 Aralık
2025"
PİRİMEHMET MH. KİRALIK ÇATI KATİ 2+1 110m2. TERASLI DAİRE...,8.500 TL,2+1,120,"Kutlubey
Pirimehmet Mah.","01 Aralık
2025"
ERGÜLSOLAK EMLAKTAN ANADOLU LİSE KARŞISI 1+0 LÜX,7.000 TL,Stüdyo (1+0),30,Anadolu,"01 Aralık
2025"
ÇARŞI MERKEZDE 3+1 KİRALIK DAİRE,21.000 TL,3+1,140,"Çelebiler
Gazi Kemal Mah.","01 Aralık
2025"
ISPARTA MERKEZ BAHÇELİEVLER MAHALLESİNDE KİRALIK APART DAİRELER,9.000 TL,Stüdyo (1+0),40,"Anadolu
Bahçelievler Mh.","01 Aralık
2025"
ÇÜNÜR MAH SIFIR EŞYALI 1+1,15.000 TL,1+1,55,"Anadolu
Çünür Mh.","01 Aralık
2025"
TİP FAKÜLTESİNE 10 DK TERASLİ,15.000 TL,1+1,50,"Anadolu
Çünür Mh.","01 Aralık
2025"
32 ARTIBİR EMLAKTAN EMRE MAHALLESİ'NDE GÜVENLİK'Lİ ARAKAT DAİRE,25.000 TL,3+1,165,"Çelebiler
Emre Mah.","01 Aralık
2025"
FAVORİ EMLAKTAN KİRALIK 2+1 APART,13.000 TL,2+1,45,"Anadolu
Fatih Mah.","05 Aralık
2025"
Sahibinden Hastane Caddesinde Kiralık Daire,16.000 TL,3+1,120,"Çelebiler
Turan Mah.","01 Aralık
2025"
Çünür Merkez de 1+1 Yeni Eşyalı önü açık Tıp fakültesine yakın,13.500 TL,1+1,55,"Anadolu
Çünür Mh.","01 Aralık
2025"
Güneş Gayrimenkul'den Belediye Mevki 1+1 Mini Daire,13.000 TL,1+1,75,"Kutlubey
Pirimehmet Mah.","02 Aralık
2025"
"ISPARTA MERKEZ İSTİKLAL MAH. 3+1,4. KAT SİTE İÇİ 140M2 KİRALIK",17.000 TL,3+1,140,"Kepeci
İstiklal Mh.","01 Aralık
2025"
VATAN MAH. 3+1 KİRALIK DAİRE,19.000 TL,3+1,140,"Çelebiler
Vatan Mah.","01 Aralık
2025"
sahibinden kiralık apart,7.500 TL,Stüdyo (1+0),40,"Kutlubey
Pirimehmet Mah.","01 Aralık
2025"
KİRALIK 2+1 GENİŞ FERAH BAHÇELİ TEMİZ DAİRE,15.000 TL,2+1,135,"Kutlubey
Işıkkent Mh.","01 Aralık
2025"
FATİH MAHALLESİNDE SİTE İÇERİSİNDE 3+1 KİRALIK DAİRE,27.500 TL,3+1,150,"Anadolu
Fatih Mah.","01 Aralık
2025"
ÇÜNÜR'DE ÜNİVERSİTEYE YAKIN KİRALIK GENİŞ 1+1 BAHÇE KAT APART,8.500 TL,1+1,50,"Anadolu
Çünür Mh.","01 Aralık
2025"
FATİH MAHALLESİNDE ÜNİ DURAKLARINA YAKIN KİRALIK BAHÇE KAT 1+1,8.000 TL,1+1,50,"Anadolu
Fatih Mah.","01 Aralık
2025"
MODERNEVLERDE ÜNİ DURAKLARINA YAKIN KİRALIK BALKONLU 2+1 APART,10.000 TL,2+1,55,"Anadolu
Modern Evler Mah.","01 Aralık
2025"
ISPARTA ÇÜNÜR MAH KİRALIK 1+1 APART,12.500 TL,1+1,45,"Anadolu
Çünür Mh.","01 Aralık
2025"
ÇÜNÜR YENİŞEHİR MAHALLESİNDE 2+1 KİRALIK APART,8.500 TL,2+1,50,"Anadolu
Çünür Mh.","04 Aralık
2025"
ISPARTA MODERNEVLER'DE KİRALIK 1+0 APART,8.000 TL,Stüdyo (1+0),30,"Anadolu
Modern Evler Mah.","01 Aralık
2025"
ISPARTA VATAN MAHALLESİ 2+1 KİRALIK DAİRE,18.000 TL,2+1,85,"Çelebiler
Vatan Mah.","02 Aralık
2025"
EMRE MAHALLESİNDE SİTE İÇERİSİNDE GÜVENLİKLİ 3+1 DAİRE,26.000 TL,3+1,150,"Çelebiler
Emre Mah.","01 Aralık
2025"
KİRALIK EŞYALI FULL APART DAİRE,10.000 TL,2+1,55,"Anadolu
Sanayi Mah.","01 Aralık
2025"
ISPARTA MERKEZ MEYDAN AVM'YE YAKIN 1+1 HERSEY DAHİL KİRALIK APAR,9.000 TL,1+1,50,"Kutlubey
Hızırbey Mh.","02 Aralık
2025"
Güneş Gayrimenkul'den Zafer Mahallesinde 1+1 Eşyasız Sıfır,10.000 TL,1+1,45,"Anadolu
Zafer Mah.","01 Aralık
2025"
GEF GAYRİMENKUL den Özkanlar Kavşağında Kiralık 2+1 apart daire,11.750 TL,2+1,50,"Anadolu
Bahçelievler Mh.","01 Aralık
2025"
BAĞLAR MAH KİRALIK 1+0 APART,8.000 TL,Stüdyo (1+0),35,"Kutlubey
Bağlar Mh.","03 Aralık
2025"
PARLAİS EMLAKTAN KİRALIK ÇAYBOYUNDA 2+1 DAİRE,15.000 TL,2+1,105,"Çelebiler
Hisar Mah.","01 Aralık
2025"
